FIRSTNAME,LASTNAME,EMAIL,PROGRAMME,COURSES
Paula,Shawel,pshawel1e@163.com,ComputerScience,java
Hi,Otton,hotton1f@usnews.com,informaton Science,SCALA
Pierce,Dudderidge,pdudderidge1g@facebook.com,informaton Science,SCALA
Bride,Jumeau,bjumeau1h@angelfire.com,informaton Science,c#
Leupold,Lorenzo,llorenzo1i@bloomberg.com,ComputerScience,java
Faunie,Lloyd-Williams,flloydwilliams1j@myspace.com,ComputerScience,java
Freddie,Kilbride,fkilbride1k@free.fr,ComputerScience,c#
Mohammed,Meaton,mmeaton1l@webmd.com,informaton Science,c#
Janey,Iskower,jiskower1m@umich.edu,ComputerScience,java
Fanchon,Tenwick,ftenwick1n@vk.com,ComputerScience,c#
Byrom,Drydale,bdrydale1o@w3.org,ComputerScience,SCALA
Esra,Lacheze,elacheze1p@aboutads.info,ComputerScience,SCALA
Greg,Biskupski,gbiskupski1q@foxnews.com,informaton Science,c#
Ody,Wilds,owilds1r@pbs.org,informaton Science,SCALA
Mayer,Perroni,mperroni1s@wordpress.com,informaton Science,SCALA
Staffard,D'Adamo,sdadamo1t@xing.com,ComputerScience,java
Jo ann,Johnston,jjohnston1u@fc2.com,informaton Science,java
Laurie,Elies,lelies1v@mlb.com,informaton Science,SCALA
Dynah,Carous,dcarous1w@last.fm,informaton Science,c#
Allard,Plewman,aplewman1x@infoseek.co.jp,ComputerScience,SCALA
Niki,Edrich,nedrich1y@hugedomains.com,informaton Science,SCALA
Hephzibah,Nares,hnares1z@newyorker.com,ComputerScience,java
Bambie,Hinsche,bhinsche20@1688.com,ComputerScience,SCALA
Riccardo,Gopsill,rgopsill21@unesco.org,informaton Science,java
Devy,Skeech,dskeech22@uol.com.br,informaton Science,java
Carry,Druitt,cdruitt23@goo.gl,informaton Science,java
Joela,Rolstone,jrolstone24@mysql.com,informaton Science,SCALA
Meta,Penzer,mpenzer25@w3.org,informaton Science,c#
Keen,Adds,kadds26@scribd.com,ComputerScience,SCALA
Ariel,Rogier,arogier27@guardian.co.uk,ComputerScience,java
Adelle,Nosworthy,anosworthy28@lycos.com,ComputerScience,SCALA
Wendi,Jensen,wjensen29@phpbb.com,ComputerScience,SCALA
Zechariah,Slidders,zslidders2a@abc.net.au,informaton Science,java
Alasdair,Harvatt,aharvatt2b@imgur.com,ComputerScience,SCALA
Neely,Cranton,ncranton2c@cornell.edu,informaton Science,java
Artemas,Frend,afrend2d@moonfruit.com,informaton Science,SCALA
Morton,Farraway,mfarraway2e@a8.net,ComputerScience,c#
Darryl,Caston,dcaston2f@dailymail.co.uk,ComputerScience,java
Morry,Have,mhave2g@ucoz.com,informaton Science,c#
Alexandra,Liff,aliff2h@ted.com,informaton Science,c#
Ardelia,Corradini,acorradini2i@huffingtonpost.com,ComputerScience,c#
Rubin,Twinn,rtwinn2j@businesswire.com,ComputerScience,SCALA
Farr,Deetch,fdeetch2k@myspace.com,informaton Science,c#
Bertha,Lummasana,blummasana2l@geocities.com,ComputerScience,SCALA
Corey,Arnhold,carnhold2m@npr.org,informaton Science,SCALA
Hildy,Lindsley,hlindsley2n@hud.gov,ComputerScience,SCALA
Sunny,Peagrim,speagrim2o@utexas.edu,informaton Science,c#
Gaby,Bansal,gbansal2p@lulu.com,ComputerScience,SCALA
Elijah,Palfree,epalfree2q@nifty.com,ComputerScience,SCALA
Frannie,Afield,fafield2r@geocities.com,informaton Science,SCALA
